Dataset,Algorithm,Attack,seed,had_cache,new_test_mae,d_test_mae,new_test_rmse,d_test_rmse,new_test_mape,d_test_mape,new_test_accuracy,d_test_accuracy,new_test_macro_f1,d_test_macro_f1,new_test_macro_recall,d_test_macro_recall,new_test_auc,d_test_auc,new_sec_trust_auc,d_sec_trust_auc,new_sec_malicious_weight_mass,d_sec_malicious_weight_mass,new_sec_tdr,d_sec_tdr,new_sec_fpr,d_sec_fpr,worst_delta,changed
PEMS04,Static-Mamdani-FL,Sybil_Poisoning,43,True,2.094524621963501,0.0,2.6495907306671143,0.0,3.9145286083221436,0.0,0.92095,0.0,0.7356290451498129,0.0,0.7384150747325329,0.0,0.993446525875626,0.0,1.0,0.0,0.19561389203846252,0.0,0.0,0.0,0.0,0.0,0.0,False
PEMS04,Static-Mamdani-FL,Sybil_Poisoning,44,True,1.9239599704742432,0.0,2.491915464401245,0.0,3.5725913047790527,0.0,0.9254,0.0,0.7571584363302509,0.0,0.7580038760432897,0.0,0.9936730864812684,0.0,1.0,0.0,0.19425185410585488,0.0,0.0,0.0,0.0,0.0,0.0,False
PEMS04,Static-Mamdani-FL,Sybil_Poisoning,45,True,2.1563870906829834,0.0,2.692737340927124,0.0,3.96807599067688,0.0,0.91735,0.0,0.746510500686026,0.0,0.7530237790234787,0.0,0.9936707780585359,0.0,1.0,0.0,0.19457142553872936,0.0,0.0,0.0,0.0,0.0,0.0,False
PEMS04,Static-Mamdani-FL,Sybil_Poisoning,46,True,2.0067765712738037,0.0,2.5930593013763428,0.0,3.806504726409912,0.0,0.9225,0.0,0.7261977159244474,0.0,0.7297886209810385,0.0,0.9936501953438043,0.0,1.0,0.0,0.19605234058065002,0.0,0.0,0.0,0.0,0.0,0.0,False
PEMS04,Static-Mamdani-FL,Sybil_Poisoning,47,True,1.9865849018096924,0.0,2.584110736846924,0.0,3.782005548477173,0.0,0.9228,0.0,0.7322211380335515,0.0,0.735939220288179,0.0,0.9936164964100271,0.0,1.0,0.0,0.2019804319555833,0.0,0.0,0.0,0.0,0.0,0.0,False
METR-LA,ZeroTrust-ANFIS-FL,Byzantine_Noise,42,True,2.446674108505249,0.0,4.384832859039307,0.0,6.101767063140869,0.0,0.8342,0.0,0.7018844357658889,0.0,0.6899770854423224,0.0,0.9749706569659913,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
METR-LA,ZeroTrust-ANFIS-FL,Byzantine_Noise,43,True,2.451953887939453,0.0,4.391625881195068,0.0,6.052900314331055,0.0,0.8359,0.0,0.7019588798103668,0.0,0.6849827541014092,0.0,0.9745821020989934,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
METR-LA,ZeroTrust-ANFIS-FL,Byzantine_Noise,44,True,2.4473893642425537,0.0,4.375633716583252,0.0,6.070872783660889,0.0,0.8339,0.0,0.698166457474857,0.0,0.6811050944598136,0.0,0.9750152603211348,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
METR-LA,ZeroTrust-ANFIS-FL,Byzantine_Noise,45,True,2.452662467956543,0.0,4.440195560455322,0.0,6.072803020477295,0.0,0.83575,0.0,0.6997847980921146,0.0,0.6831962834463052,0.0,0.9738557682798951,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
METR-LA,ZeroTrust-ANFIS-FL,Byzantine_Noise,46,True,2.451167583465576,0.0,4.371747970581055,0.0,6.022251605987549,0.0,0.8323,0.0,0.6955276946833214,0.0,0.6816223151419802,0.0,0.9750003621788449,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
METR-LA,ZeroTrust-ANFIS-FL,Byzantine_Noise,47,True,2.4535317420959473,0.0,4.403642177581787,0.0,6.14687442779541,0.0,0.8334,0.0,0.6985259354622898,0.0,0.6804621112757521,0.0,0.9741459164112652,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
METR-LA,ZeroTrust-ANFIS-FL,Label_Flipping,42,True,2.448091506958008,0.0,4.375246524810791,0.0,6.12244176864624,0.0,0.8333,0.0,0.701144459277275,0.0,0.6869053183954809,0.0,0.9747631570532389,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False
METR-LA,ZeroTrust-ANFIS-FL,Label_Flipping,43,True,2.4682586193084717,0.0,4.422197341918945,0.0,6.047443866729736,0.0,0.83285,0.0,0.69645372199077,0.0,0.6842253831562398,0.0,0.9740289092437184,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2857142857142857,0.0,0.0,False
