Dataset,Attack,Algorithm,seed,true_class,pred_0,pred_1,pred_2,pred_3,pred_4
PEMS04,No_Attack,Multi-Krum,42,4,1,1,1,254,16552
PEMS04,No_Attack,Static-Mamdani-FL,42,0,244,40,1,0,0
PEMS04,No_Attack,Static-Mamdani-FL,42,1,29,373,44,3,3
PEMS04,No_Attack,Static-Mamdani-FL,42,2,1,53,294,101,10
PEMS04,No_Attack,Static-Mamdani-FL,42,3,1,5,61,1500,428
PEMS04,No_Attack,Static-Mamdani-FL,42,4,1,1,1,267,16539
PEMS04,No_Attack,ZeroTrust-ANFIS-FL,42,0,247,37,1,0,0
PEMS04,No_Attack,ZeroTrust-ANFIS-FL,42,1,40,359,47,4,2
PEMS04,No_Attack,ZeroTrust-ANFIS-FL,42,2,1,58,297,94,9
PEMS04,No_Attack,ZeroTrust-ANFIS-FL,42,3,0,9,62,1504,420
PEMS04,No_Attack,ZeroTrust-ANFIS-FL,42,4,0,2,1,277,16529
PEMS04,Byzantine_Noise,FedAvg,42,0,248,36,1,0,0
PEMS04,Byzantine_Noise,FedAvg,42,1,43,347,53,6,3
PEMS04,Byzantine_Noise,FedAvg,42,2,1,56,248,141,13
PEMS04,Byzantine_Noise,FedAvg,42,3,0,6,45,1208,736
PEMS04,Byzantine_Noise,FedAvg,42,4,1,0,2,159,16647
PEMS04,Byzantine_Noise,FedProx,42,0,227,57,1,0,0
PEMS04,Byzantine_Noise,FedProx,42,1,19,367,57,6,3
PEMS04,Byzantine_Noise,FedProx,42,2,0,52,287,110,10
PEMS04,Byzantine_Noise,FedProx,42,3,0,6,64,1468,457
PEMS04,Byzantine_Noise,FedProx,42,4,1,1,2,235,16570
PEMS04,Byzantine_Noise,SCAFFOLD,42,0,244,40,1,0,0
PEMS04,Byzantine_Noise,SCAFFOLD,42,1,29,368,49,4,2
PEMS04,Byzantine_Noise,SCAFFOLD,42,2,1,65,287,99,7
PEMS04,Byzantine_Noise,SCAFFOLD,42,3,0,6,83,1496,410
PEMS04,Byzantine_Noise,SCAFFOLD,42,4,1,1,2,316,16489
PEMS04,Byzantine_Noise,FLTrust,42,0,246,38,1,0,0
PEMS04,Byzantine_Noise,FLTrust,42,1,29,373,44,4,2
PEMS04,Byzantine_Noise,FLTrust,42,2,0,60,305,86,8
PEMS04,Byzantine_Noise,FLTrust,42,3,0,9,74,1479,433
PEMS04,Byzantine_Noise,FLTrust,42,4,1,1,5,264,16538
PEMS04,Byzantine_Noise,Multi-Krum,42,0,240,44,1,0,0
PEMS04,Byzantine_Noise,Multi-Krum,42,1,28,369,49,4,2
PEMS04,Byzantine_Noise,Multi-Krum,42,2,0,57,297,96,9
PEMS04,Byzantine_Noise,Multi-Krum,42,3,0,7,62,1509,417
PEMS04,Byzantine_Noise,Multi-Krum,42,4,1,1,2,279,16526
PEMS04,Byzantine_Noise,Static-Mamdani-FL,42,0,224,60,1,0,0
PEMS04,Byzantine_Noise,Static-Mamdani-FL,42,1,12,370,62,5,3
PEMS04,Byzantine_Noise,Static-Mamdani-FL,42,2,0,41,288,120,10
PEMS04,Byzantine_Noise,Static-Mamdani-FL,42,3,0,5,45,1400,545
PEMS04,Byzantine_Noise,Static-Mamdani-FL,42,4,1,1,2,188,16617
PEMS04,Byzantine_Noise,ZeroTrust-ANFIS-FL,42,0,242,42,1,0,0
PEMS04,Byzantine_Noise,ZeroTrust-ANFIS-FL,42,1,34,365,47,4,2
PEMS04,Byzantine_Noise,ZeroTrust-ANFIS-FL,42,2,0,49,303,98,9
PEMS04,Byzantine_Noise,ZeroTrust-ANFIS-FL,42,3,1,7,65,1486,436
